,OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_households,Total_households_MOE,HH_income_less_35k,HH_income_less_35k_MOE,Pct_HH_income_less_35k,Pct_HH_income_less_35k_MOE,HH_income_35k_75k,HH_income_35k_75k_MOE,Pct_HH_income_35k_75k,Pct_HH_income_35k_75k_MOE,HH_income_75k_200k,HH_income_75k_200k_MOE,Pct_HH_income_75k_200k,Pct_HH_income_75k_200k_MOE,HH_income_200k_more,HH_income_200k_more_MOE,Pct_HH_income_200k_more,Pct_HH_income_200k_more_MOE,Median_HH_income,Median_HH_income_MOE,Median_HH_Income_2000,Chg_Median_HH_Income_2000_16,Average_Per_capita_Income,Average_Per_capita_Income_MOE,Aggregate_Household_Income,Aggregate_Household_Income_MOE,Mean_Household_Income,Mean_Household_Income_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date,county_name,cases,State FIPS code,County FIPS code,population,hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases
0,1,13045910103,13045,"Census Tract 9101.03, Carroll County",4824,361,1836,131,570,160,31.0,8.4,631,185,34.4,9.8,558,137,30.4,7.2,77,52,4.2,3.0,55678.0,5650.0,44411.76471,11266.23529,25956.0,2186.0,122031000.0,13497957.0,66465.7,5617.8,ARC 20,13733.90039063,211.03199768,13945.0,21.45919991,0.32973701,21.78910065,910103,Carroll,{7B181A0F-7932-4A81-8A6F-F4378BE58474},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
1,2,13045910104,13045,"Census Tract 9101.04, Carroll County",10068,865,3450,225,945,264,27.4,7.4,1369,315,39.7,8.8,1057,259,30.6,7.2,79,79,2.3,2.0,57143.0,4422.0,43930.55556,13212.444440000001,25682.0,6265.0,256619808.0,67288528.0,74382.6,18891.0,ARC 20,10931.29980469,177.147995,11108.5,17.080200199999997,0.27679399,17.35700035,910104,Carroll,{321F2EFA-6D56-4B9D-8F4D-26979810B525},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
2,3,13045910502,13045,"Census Tract 9105.02, Carroll County",3339,523,1117,150,866,184,77.5,12.8,177,81,15.8,6.9,74,58,6.6,5.1,0,13,0.0,1.0,24367.0,3603.0,16134.453780000002,8232.546218000001,10580.0,1455.0,32590900.0,6963034.0,29177.2,4848.4,ARC 20,1039.95996094,35.62200165,1075.58996582,1.62494004,0.055659400000000005,1.68060994,910502,Carroll,{FA61AA33-461A-4165-A186-D02E7CC00BE5},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
3,4,13045910800,13045,"Census Tract 9108, Carroll County",4188,451,1440,97,389,112,27.0,7.6,613,133,42.6,8.8,384,116,26.7,7.8,54,44,3.8,3.0,52697.0,7819.0,36954.02299,15742.977009999999,22609.0,1243.0,92594000.0,11197010.0,64301.4,6457.6,ARC 20,42136.6015625,437.87399292,42574.5,65.83840179,0.68417799,66.52269745,910800,Carroll,{DA77B0FB-87DC-4FDA-AAC5-1584C104E468},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
4,5,13045910101,13045,"Census Tract 9101.01, Carroll County",6224,495,2287,218,1111,248,48.6,9.8,768,206,33.6,8.4,370,146,16.2,6.2,38,39,1.7,2.0,35689.0,6931.0,25505.31915,10183.68085,18492.0,2716.0,110969600.0,18968674.0,48521.9,6884.8,ARC 20,4104.14990234,16.12610054,4120.27001953,6.41273022,0.025197,6.43792009,910101,Carroll,{90767EAE-D292-4395-9083-F91BB21310CE},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
5,6,13045910200,13045,"Census Tract 9102, Carroll County",11669,1080,4067,364,1676,441,41.2,10.2,1224,343,30.1,8.0,1060,370,26.1,8.8,107,148,2.6,4.0,44389.0,5485.0,40113.06533,4275.934673,19598.0,2153.0,226576800.0,33471924.0,55711.0,6547.7,ARC 20,29329.30078125,392.24899292,29721.59960938,45.82699966,0.61288899,46.43999863,910200,Carroll,{85CB4B4D-D21C-47E6-B70C-37E84A835E9B},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
6,7,13045910900,13045,"Census Tract 9109, Carroll County",4064,348,1411,85,450,123,31.9,8.5,473,108,33.5,7.4,403,103,28.6,7.1,85,51,6.0,4.0,56883.0,5245.0,39148.93617,17734.063830000003,25558.0,2402.0,101405296.0,13116446.0,71867.7,8226.1,ARC 20,32149.59960938,480.14801025,32629.69921875,50.2336998,0.75023103,50.98389816,910900,Carroll,{54BBA89A-CB96-460D-8617-961F33B05953},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
7,8,13045910300,13045,"Census Tract 9103, Carroll County",5978,488,2164,178,836,215,38.6,9.4,733,177,33.9,7.7,569,180,26.3,8.0,26,26,1.2,1.0,45111.0,9768.0,37976.190480000005,7134.809523999999,21217.0,2180.0,123495000.0,16432313.0,57067.9,5968.8,ARC 20,36344.8984375,214.26400757,36559.1015625,56.78889847,0.33478799,57.12360001,910300,Carroll,{AE63647E-2F98-4AEC-843A-43932C832F4C},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
8,9,13045911100,13045,"Census Tract 9111, Carroll County",7217,756,2962,205,1182,296,39.9,9.6,984,246,33.2,8.0,724,237,24.4,7.8,72,53,2.4,2.0,45309.0,7119.0,41291.66667,4017.333333,26422.0,4235.0,186626592.0,36752072.0,63007.0,11616.3,ARC 20,12758.70019531,138.08599854,12896.79980469,19.93549919,0.21575899,20.15119934,911100,Carroll,{29CE88C3-4D37-4EBA-88DB-44C1AE9E9E70},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
9,10,13045911000,13045,"Census Tract 9110, Carroll County",6083,761,2212,212,854,259,38.6,11.1,667,220,30.2,9.5,616,157,27.8,6.6,75,46,3.4,2.0,47575.0,5699.0,31226.41509,16348.58491,24145.0,702.0,141819200.0,19536224.0,64113.6,6343.9,ARC 20,12543.0,130.88600159,12673.79980469,19.59840012,0.204509,19.80279922,911000,Carroll,{F835B07F-64D0-428D-A411-16291EC02D24},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
10,11,13045910701,13045,"Census Tract 9107.01, Carroll County",9360,796,3180,211,1220,299,38.4,9.0,1063,276,33.4,8.4,854,229,26.9,7.0,43,41,1.4,1.0,44270.0,5381.0,42657.76699,1612.23301,22336.0,2719.0,199874592.0,32278000.0,62853.6,9254.0,ARC 20,16111.20019531,125.41100311,16236.59960938,25.17370033,0.19595499,25.36969948,910701,Carroll,{72500E30-F63E-420C-951A-214B7E023646},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
11,12,13045910703,13045,"Census Tract 9107.03, Carroll County",8743,899,3045,177,1230,305,40.4,9.7,989,271,32.5,8.7,804,205,26.4,6.6,22,35,0.7,1.0,42706.0,6083.0,46562.5,-3856.5,20324.0,1514.0,168933408.0,19144948.0,55479.0,5397.3,ARC 20,8591.16992188,261.16799927,8852.33984375,13.42370033,0.408075,13.83180046,910703,Carroll,{BC2BE477-E5A9-407B-B2CF-03EC6C338A22},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
12,13,13045910600,13045,"Census Tract 9106, Carroll County",6391,522,2334,148,882,280,37.8,11.7,701,221,30.0,9.3,732,217,31.4,9.1,19,30,0.8,1.0,53269.0,13367.0,36380.597010000005,16888.402990000002,23566.0,3355.0,149576896.0,25087728.0,64086.1,9951.0,ARC 20,8041.37988281,0.54437298,8041.91992188,12.56470013,0.00085058,12.56550026,910600,Carroll,{F1B57DEB-4DBA-4C08-BE11-F6C7DB075F56},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
13,14,13045910501,13045,"Census Tract 9105.01, Carroll County",8615,712,2308,201,1130,306,49.0,12.5,895,258,38.8,10.7,262,111,11.4,4.7,21,28,0.9,1.0,35267.0,6066.0,37434.210530000004,-2167.2105260000003,14081.0,2467.0,109714800.0,22226508.0,47536.7,8694.9,ARC 20,7382.89013672,0.0,7382.89013672,11.53579998,0.0,11.53579998,910501,Carroll,{FEE3CD07-3144-4EC2-B770-7FFB55038D3E},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
14,15,13045910702,13045,"Census Tract 9107.02, Carroll County",8052,958,2973,194,791,220,26.6,7.2,1206,271,40.6,8.7,875,193,29.4,6.2,101,77,3.4,3.0,60407.0,8627.0,54395.16129,6011.83871,26201.0,4318.0,206642704.0,24629704.0,69506.5,6932.6,ARC 20,14868.5,304.74301147,15173.29980469,23.23200035,0.47616099999999995,23.70829964,910702,Carroll,{AEBF0F70-C780-4C1D-98EF-175594F5461A},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
15,16,13045911200,13045,"Census Tract 9112, Carroll County",5615,622,2173,161,923,199,42.5,8.6,735,197,33.8,8.7,451,152,20.8,6.8,64,49,2.9,2.0,46301.0,5458.0,32846.71533,13454.28467,23054.0,1018.0,125411800.0,16138868.0,57713.7,6072.5,ARC 20,41791.80078125,67.61920166,41859.5,65.29969788,0.105655,65.40550232,911200,Carroll,{9DADDCF4-A4E9-4D5D-BAD0-B4B7E4C4D17E},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
16,17,13045910400,13045,"Census Tract 9104, Carroll County",3326,320,1328,88,591,144,44.5,10.4,433,115,32.6,8.4,278,78,20.9,5.7,26,25,2.0,2.0,39549.0,5954.0,35788.28829,3760.711712,23435.0,4967.0,76519200.0,17666116.0,57619.9,12743.1,ARC 20,27550.09960938,53.30459976,27603.40039063,43.04700089,0.08328839999999998,43.13029861,910400,Carroll,{98EB160E-B9D9-455C-9E44-2DF93DEAF302},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
17,18,13113140207,13113,"Census Tract 1402.07, Fayette County",5652,400,2281,105,184,95,8.1,4.1,659,199,28.9,8.6,1110,220,48.7,9.4,328,121,14.4,5.0,100181.0,11788.0,80794.70199,19386.29801,49917.0,4639.0,279490688.0,32758082.0,122529.9,13207.3,ARC 10,1817.18005371,197.76800537,2014.94995117,2.83933997,0.30901301,3.14836001,140207,Fayette,{EAA2AA77-12DA-4A3A-9CD2-4F38A764D9CE},1970/01/01 00:00:00+00,Fayette,2123,13,113,117544,128,57,1806.13,48.49,110.6,130
18,19,13113140208,13113,"Census Tract 1402.08, Fayette County",7538,616,2672,206,359,201,13.4,7.5,917,247,34.3,8.9,1252,243,46.9,8.3,144,74,5.4,3.0,79521.0,12377.0,72394.0678,7126.932203,35038.0,2593.0,258340800.0,28326364.0,96684.4,7538.1,ARC 10,4174.27001953,123.97299957,4298.25,6.52229977,0.193708,6.71602011,140208,Fayette,{2066855D-DD7A-40D1-BE18-0FA8C72ED72B},1970/01/01 00:00:00+00,Fayette,2123,13,113,117544,128,57,1806.13,48.49,110.6,130
19,20,13113140303,13113,"Census Tract 1403.03, Fayette County",4828,268,1690,87,331,88,19.6,5.1,471,122,27.9,7.1,748,130,44.3,7.4,140,55,8.3,3.0,79035.0,7296.0,72182.32044,6852.679558,33848.0,1892.0,160286000.0,13341900.0,94843.8,6203.7,ARC 10,3397.15991211,234.27900696,3631.43994141,5.30806017,0.366061,5.67411995,140303,Fayette,{90E754A8-6C86-44A8-BC29-D60C954C0AC3},1970/01/01 00:00:00+00,Fayette,2123,13,113,117544,128,57,1806.13,48.49,110.6,130
20,21,13113140304,13113,"Census Tract 1403.04, Fayette County",5927,416,2120,130,360,147,17.0,6.9,526,163,24.8,7.6,1019,219,48.1,9.9,215,101,10.1,5.0,88000.0,12409.0,70232.01856,17767.98144,41071.0,6961.0,240003008.0,45860452.0,113209.0,20488.1,ARC 10,3411.91992188,33.34960175,3445.27001953,5.33112001,0.05210880000000001,5.38323021,140304,Fayette,{283BFC2F-5C10-4A84-99AF-60BF7FC0502D},1970/01/01 00:00:00+00,Fayette,2123,13,113,117544,128,57,1806.13,48.49,110.6,130
21,22,13113140307,13113,"Census Tract 1403.07, Fayette County",5048,306,1517,80,62,42,4.1,2.7,107,56,7.1,3.7,902,148,59.5,9.2,446,101,29.4,6.0,158309.0,10167.0,115936.255,42372.74502,55150.0,5859.0,274893504.0,33712000.0,181208.6,20063.2,ARC 10,4196.87011719,96.89790344,4293.77001953,6.55761003,0.15140299,6.70902014,140307,Fayette,{1FF3A6C2-AE6B-4B78-A576-35E6E8A25109},1970/01/01 00:00:00+00,Fayette,2123,13,113,117544,128,57,1806.13,48.49,110.6,130
22,23,13113140408,13113,"Census Tract 1404.08, Fayette County",3096,283,1118,70,222,90,19.9,8.0,407,113,36.4,9.9,425,102,38.0,8.8,64,37,5.7,3.0,69632.0,7944.0,78314.69649,-8682.696486,31707.0,2818.0,95772800.0,12364852.0,85664.4,9672.2,ARC 10,3867.0300293000005,57.24739838,3924.2800293000005,6.04223013,0.0894491,6.13169003,140408,Fayette,{051BEB30-C3B7-4FC4-8E91-269E7F54898E},1970/01/01 00:00:00+00,Fayette,2123,13,113,117544,128,57,1806.13,48.49,110.6,130
