,OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_households,Total_households_MOE,HH_income_less_35k,HH_income_less_35k_MOE,Pct_HH_income_less_35k,Pct_HH_income_less_35k_MOE,HH_income_35k_75k,HH_income_35k_75k_MOE,Pct_HH_income_35k_75k,Pct_HH_income_35k_75k_MOE,HH_income_75k_200k,HH_income_75k_200k_MOE,Pct_HH_income_75k_200k,Pct_HH_income_75k_200k_MOE,HH_income_200k_more,HH_income_200k_more_MOE,Pct_HH_income_200k_more,Pct_HH_income_200k_more_MOE,Median_HH_income,Median_HH_income_MOE,Median_HH_Income_2000,Chg_Median_HH_Income_2000_16,Average_Per_capita_Income,Average_Per_capita_Income_MOE,Aggregate_Household_Income,Aggregate_Household_Income_MOE,Mean_Household_Income,Mean_Household_Income_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date,county_name,cases,State FIPS code,County FIPS code,population,hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases
518,533,13121008602,13121,"Census Tract 86.02, Fulton County",1070,187,525,49,249,73,47.4,13.2,204,66,38.9,12.1,67,36,12.8,6.8,5,7,1,1,35649,3479,9921.259843,25727.74016,23930,157,24119800,4310354,45942.5,7001.5,ARC 10,1122.890015,16.00209999,1138.890015,1.75452006,0.0250033,1.77952003,8602,Fulton,{F8404F5A-9E65-4ADC-9C04-21A3DC540D44},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
586,601,13121004800,13121,"Census Tract 48, Fulton County",1141,164,600,43,403,93,67.2,14.8,147,56,24.5,9.1,50,55,8.3,9.2,0,13,0,2,17500,7200,8523.364486,8976.635514,15727,2396,17302900,3773371,28838.2,5939.7,ARC 10,97.14530182,0,97.14530182,0.15178999,0,0.15178999,4800,Fulton,{05905418-E0C2-451D-B470-0164D364B632},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
565,580,13121006400,13121,"Census Tract 64, Fulton County",1159,163,346,48,155,59,44.8,15.9,138,55,39.9,14.9,53,36,15.3,10.2,0,13,0,4,44028,14820,15444.44444,28583.55556,17179,3298,16061900,3790973,46421.7,8864.1,ARC 10,310.4320068,0,310.4320068,0.48504999,0,0.48504999,6400,Fulton,{EBFFE8C9-41CF-40B8-932E-22915887A74B},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
120,166,13067031113,13067,"Census Tract 311.13, Cobb County",1195,184,659,64,332,91,50.4,12.9,252,84,38.2,12.2,68,38,10.3,5.7,7,10,1.1,2,34821,6045,32500,2321,22585,2826,26736200,5141405,40570.9,6733.8,ARC 10,275.4849854,1.20562994,276.6910095,0.43044499,0.0018838,0.43233001,31113,Cobb,{5204E479-2E26-4BA5-A8A1-B872090E04EB},1970/01/01 00:00:00+00,Cobb,21814,13,67,790588,1964,454,2759.21,57.43,129.4,1023
465,480,13121008101,13121,"Census Tract 81.01, Fulton County",1219,180,395,49,234,75,59.2,17.4,132,41,33.4,9.6,29,27,7.3,6.8,0,13,0,3,28924,3901,34117.64706,-5193.647059,13713,2802,13498500,1827403,34173.4,1852.5,ARC 10,223.1549988,0,223.1549988,0.34867999,0,0.34867999,8101,Fulton,{C0BBF608-FBA9-459D-9853-624BCDE40F2C},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
490,505,13121003600,13121,"Census Tract 36, Fulton County",1281,214,765,77,376,97,49.2,11.7,239,83,31.2,10.3,133,54,17.4,6.8,17,20,2.2,3,38558,16224,16283.78378,22274.21622,31356,1819,39262200,7057291,51323.1,7643.2,ARC 10,97.43039703,0,97.43039703,0.152235,0,0.152235,3600,Fulton,{0C8C240A-BAB9-4256-AFC8-6F9F28427D60},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
613,630,13121006602,13121,"Census Tract 66.02, Fulton County",1388,194,436,50,336,72,77.1,13.9,59,29,13.5,6.5,41,31,9.4,7.1,0,13,0,3,17857,4791,21079.54545,-3222.545455,9920,1966,12242700,2846349,28079.6,5678.9,ARC 10,156.8820038,0,156.8820038,0.24512801,0,0.24512801,6602,Fulton,{A6D7D5CD-8506-4EEE-ABC5-6FDF97485A5A},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
605,620,13121002300,13121,"Census Tract 23, Fulton County",1400,314,495,70,320,81,64.6,13.5,127,52,25.7,9.8,48,37,9.7,7.4,0,13,0,3,26793,5123,18492.06349,8300.936508,13156,3864,16187600,3000922,32702.2,3920.1,ARC 10,277.3850098,0,277.3850098,0.43341401,0,0.43341401,2300,Fulton,{4CA62F90-B5FB-40B1-8F45-78F396972BF1},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
247,248,13063040617,13063,"Census Tract 406.17, Clayton County",1474,244,381,53,213,60,55.9,13.8,155,60,40.7,14.8,13,24,3.4,6.4,0,13,0,3,32991,3847,44146.34146,-11155.34146,9843,1513,13665200,3056509,35866.7,6282.1,ARC 10,266.2170105,1.40529001,267.6220093,0.41596401,0.00219577,0.41815901,40617,Clayton,{4B7939B2-40FC-4896-9739-CB7EA72C053F},1970/01/01 00:00:00+00,Clayton,8168,13,63,304838,689,175,2679.46,57.41,144.34,440
614,631,13121006200,13121,"Census Tract 62, Fulton County",1480,189,467,61,279,84,59.7,16.1,78,39,16.7,8,110,48,23.6,9.8,0,13,0,3,24625,9463,24531.25,93.75,16504,2331,19871100,3682377,42550.5,5593.3,ARC 10,257.0610046,0,257.0610046,0.401658,0,0.401658,6200,Fulton,{528D4DC2-7B3E-4BC5-A35C-F5CA5718BCE9},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
559,574,13121002600,13121,"Census Tract 26, Fulton County",1560,244,553,55,374,88,67.6,14.3,134,54,24.2,9.6,29,29,5.2,5.2,16,23,2.9,4,23598,4475,20952.38095,2645.619048,13158,2919,18417600,4662671,33304.9,7753.7,ARC 10,236.2070007,0,236.2070007,0.369073,0,0.369073,2600,Fulton,{6BA31014-1AA6-42EC-BDEB-4847E820CE80},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
292,293,13015960101,13015,"Census Tract 9601.01, Bartow County",1573,136,634,64,142,52,22.4,7.9,247,80,39,11.9,242,78,38.2,11.8,3,5,0.5,1,57713,11327,42071.42857,15641.57143,27767,3204,43386800,6457587,68433.4,7484.8,ARC 20,23079.09961,0,23079.09961,36.06110001,0,36.06110001,960101,Bartow,{12E01185-BAD7-4331-805F-25C6DA943E8B},1970/01/01 00:00:00+00,Bartow,3580,13,15,110771,330,94,3231.89,84.86,336.73,373
457,472,13121008903,13121,"Census Tract 89.03, Fulton County",1667,330,725,86,164,64,22.6,8.4,277,97,38.2,12.6,267,74,36.8,9.2,17,18,2.3,2,64323,9260,38095.2381,26227.7619,35774,8634,55203800,7497230,76143.2,5035.5,ARC 10,284.4519959,2.09941006,286.5509949,0.44445601,0.00328033,0.447736,8903,Fulton,{AF401829-D595-410E-B2AA-3B9190C9036C},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
